company,name,model,size,freq
Corcair,CORSAIR DOMINATOR PLATINUM RGB 16GB (8GBx2) DDR4 3200MHz DESKTOP RAM (CMT16GX4M2C3200C16),CMT16GX4M2C3200C16,16GB ,3200MHz 
Corcair,Corsair CMT32GX4M2C3000C15 Desktop Ram DOMINATOR PLATINUM RGB Series 32GB (16GBx2) DDR4 3000MHz,CMT32GX4M2C3000C15 ,32GB ,3000MHz
Corcair,CORSAIR DOMINATOR PLATINUM RGB 32GB (16 GB X 2) DDR4 DRAM 3200MHZ C16 RAM (CMT32GX4M2C3200C16),CMT32GX4M2C3200C16,32GB ,3200MHZ 
Corcair,CORSAIR Desktop Value Series – 4GB (4GBx1) DDR3 1600MHz RAM (CMV4GX3M1A1600C11),CMV4GX3M1A1600C11,4GB ,1600MHz 
Corcair,CORSAIR Desktop Value Series – 4GB (4GBx1) DDR3L 1600MHz RAM (CMV4GX3M1C1600C11),CMV4GX3M1C1600C11,4GB ,1600MHz 
Corcair,CORSAIR Desktop Value Series 8gb (8GBx1) DDR3 1600MHz RAM (CMV8GX3M1A1600C11),CMV8GX3M1A1600C11,8GB,1600MHz 
Corcair,Corsair CMW16GX4M1D3000C16 Desktop Ram Vengeance RGB Pro Series - 16GB (16GBx1) DDR4 3000MHz,CMW16GX4M1D3000C16 ,16GB ,3000MHz
Corcair,Corsair CMW16GX4M1Z3200C16 Desktop Ram Vengeance RGB Pro Series - 16GB (16GBx1) DDR4 3200MHz,CMW16GX4M1Z3200C16 ,16GB ,3200MHz
Corcair,CORSAIR Desktop Vengeance RGB Pro Series – 16GB (8GBx2) DDR4 3000MHz RAM (CMW16GX4M2C3000C15),CMW16GX4M2C3000C15,16GB ,3000MHz 
Corcair,CORSAIR 16GB (8GBX2) DDR4 – 3000 MHZ C16 VENGEANCE RGB SERIES RAM (CMW16GX4M2C3000C15W),CMW16GX4M2C3000C15W,16GB ,3000 MHZ 
Corcair,CORSAIR Desktop Vengeance RGB Pro Series – 16GB (8GBx2) DDR4 3200MHz RAM (CMW16GX4M2C3200C16),CMW16GX4M2C3200C16,16GB ,3200MHz 
Corcair,CORSAIR Desktop Vengeance RGB Pro Series – 16GB (8GBx2) DDR4 3200MHz RAM White (CMW16GX4M2C3200C16W),CMW16GX4M2C3200C16W,16GB ,3200MHz 
Corcair,Corsair VENGEANCE® RGB PRO 16GB (8GBX2) DDR4 DRAM 3600MHz C18 Memory - Black,,16GB ,3600MHz 
Corcair,Corsair VENGEANCE® RGB PRO 16GB (8GBX2) DDR4 DRAM 3600MHz C18 Memory Kit - White,,16GB ,3600MHz 
Corcair,Corsair VENGEANCE® RGB PRO 16GB (8GBX2) DDR4 DRAM 3600MHz C18 Memory - White,,16GB ,3600MHz 
Corcair,Corsair VENGEANCE® RGB PRO 32GB (16GBX2) DDR4 DRAM 3000MHz C15 Memory Kit - White,,32GB ,3000MHz 
Corcair,CORSAIR VENGEANCE® RGB PRO 32GB (2 x 16GB) DDR4 DRAM 3200MHz C16 Memory Kit – Black,,32GB ,3200MHz 
Corcair,CORSAIR 32GB (2 X 16GB) DDR4 DRAM 3200MHZ C16 VENGEANCE RGB PRO SERIES – WHITE RAM,,32GB ,3200MHZ 
Corcair,CORSAIR VENGEANCE RGB PRO 32GB (16GBx2) DDR4 3600MHz RAM (BLACK),CMW32GX4M2D3600C18,32GB ,3600MHz 
Corcair,CORSAIR 8GB (1X8GB) DDR4 – 3000 MHZ C16 VENGEANCE RGB PRO SERIES RAM (CMW8GX4M1D3000C16),CMW8GX4M1D3000C16,8GB ,3000 MHZ 
Corcair,Corsair VENGEANCE RGB PRO 8GB (8GBX1) DDR4 DRAM 3200MHz C16 Memory Kit,,8GB ,3200MHz 
Corcair,CORSAIR DESKTOP RAM VENGEANCE SERIES – 4GB (4GBx1) DDR3 1600MHz RAM (CMZ4GX3M1A1600C9),CMZ4GX3M1A1600C9,4GB ,1600MHz 
Corcair,CORSAIR Desktop Vengeance Series – 8GB (8GBx1) DDR3 1600MHz RAM (CMZ8GX3M1A1600C10),CMZ8GX3M1A1600C10,8GB ,1600MHz 
Gskill,G.SKILL Aegis Series 32GB (4x8GB) 2133MHz DDR4 Memory F4-2133C15Q-32GIS,F4-2133C15Q-32GIS,32GB ,2133MHz 
Gskill,G.Skill F4-2400C15S-16GVR Desktop Ram Ripjaws V Series 16GB (16GBx1) DDR4 2400MHz Red,F4-2400C15S-16GVR ,16GB ,2400MHz 
Gskill,G.Skill F4-2400C16S-16GRS Laptop Ram Ripjaws Series 16GB (16GBx1) DDR4 2400MHz,F4-2400C16S-16GRS ,16GB ,2400MHz
Gskill,G.Skill F4-2400C16S-4GRS Laptop Ram Ripjaws Series 4GB (4GBx1) DDR4 2400MHz,F4-2400C16S-4GRS ,4GB ,2400MHz
Gskill,G.Skill F4-2400C16S-8GRS Laptop Ram Ripjaws Series 8GB (8GBx1) DDR4 2400MHz,F4-2400C16S-8GRS ,8GB ,2400MHz
Gskill,G.Skill F4-2400C17S-4GVR Desktop Ram Ripjaws V Series 4GB (4GBx1) DDR4 2400MHz Red,F4-2400C17S-4GVR ,4GB ,2400MHz 
Gskill,G.SKILL 8GB (8GB x 1) DDR4 – 2400 MHZ RIPJAWS V SERIES SINGLE CHANNEL KIT RAM (F4-2400C17S-8GVR),F4-2400C17S-8GVR,8GB ,2400 MHZ 
