company,name,model
Asus,"ASUS VA24EHE 24 Inch Gaming Monitor (Adaptive-Sync, 5ms Response Time, Frameless, FHD, IPS Panel, DVI, HDMI, D-Sub)", VA24EHE 
Asus,"ASUS VG248QE - 24 Inch 3D Gaming Monitor (1ms Response Time, 144Hz Refresh Rate, FHD TN Panel, HDMI, DisplayPort, DVI-D, Speakers)", VG248QE 
Asus,"ASUS VG258QR - 25 Inch Gaming Monitor (Nvidia G-Sync, 0.5ms Response Time, 165Hz Refresh Rate, Frameless, FHD TN Panel, DVI-D, HDMI, DisplayPort, Speakers)", VG258QR 
Asus,"ASUS TUF GAMING VG259Q - 25 Inch Gaming Monitor (Adaptive-Sync, 1ms Response Time, 144Hz Refresh Rate, Frameless, FHD, IPS Panel, HDMI, DisplayPort, Speakers)", VG259Q 
Asus,"ASUS VG278QR - 27 Inch Gaming Monitor (Nvidia G-Sync, 0.5ms Response Time, 165Hz Refresh Rate, Frameless, FHD TN Panel, DVI-D, HDMI, DisplayPort, Speakers)", VG278QR 
Asus,"ASUS TUF GAMING VG279QM 27 Inch Gaming Monitor (Nvidia G-Sync, HDR, 1ms Response Time, 280Hz Refresh Rate, Frameless, FHD, IPS Panel, HDMI, DisplayPort, Speakers)", VG279QM 
Asus,ASUS VG27AQL1A 27 inch WQHD TUF Gaming  Gaming Monitor, VG27AQL1A 
Asus,"ASUS VP228H - 22 Inch Gaming Monitor (1ms Response Time, FHD TN Panel, DVI-D, HDMI, D-sub, Speakers)", VP228H 
Asus,"ASUS VZ229H - 22 Inch Monitor (5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-sub, Speakers)", VZ229H 
Asus,"ASUS VZ249H - 24 Inch Monitor (5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-Sub, Speakers)", VZ249H 
Asus,"ASUS VZ279HE - 27 Inch Monitor (5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-sub)", VZ279HE 
Asus,"ASUS ROG Strix XG248Q - 24 Inch Gaming Monitor (Nvidia G-Sync, 1ms Response Time, 240Hz Refresh Rate, FHD TN Panel, HDMI, DisplayPort)", XG248Q 
Asus,"ASUS ROG Strix XG32VQ - 32 Inch 125% sRGB Curved Gaming Monitor (1800R Curved, Adaptive Sync, 4ms Response Time, 144Hz Refresh Rate, Frameless, 2K WQHD VA Panel, HDMI, DisplayPort)", XG32VQ 
Asus,"ASUS TUF Gaming VG27AQ - 27 Inch Gaming Monitor (Adaptive-Sync, HDR, 1ms Response Time, 165Hz Refresh Rate, WQHD, IPS Panel, HDMI, DisplayPort, Speakers)", VG27AQ 
Viewsonic,Viewsonic 24 inch VP2468 IPS Professional Monitor, VP2468
Viewsonic,"ViewSonic XG2405 - 24 Inch Gaming Monitor (AMD FreesSync, 1ms Response Time, 144Hz Refresh Rate, Frameless, FHD IPS Panel, HDMI, DisplayPort, Speakers)", XG2405
Viewsonic,ViewSonic VX2476-smhd 24 inch frameless IPS Monitor, VX2476
Viewsonic,ViewSonic VA2418-SH 241080p IPS Monitor, VA2418
Viewsonic,ViewSonic VA2718-SH 27 1080p IPS Monitor, VA2718
Viewsonic,Viewsonic 24 inch VX2457-MHD Gaming TN Monitor, VX2457
Viewsonic,Viewsonic 27 inch VX2776-SMHD IPS Monitor, VX2776
Viewsonic,Viewsonic 32 inch VX3276-2K-MHD IPS Monitor, VX3276
Viewsonic,Viewsonic 23.6 inch TD2421 Touch Monitor, TD2421
Viewsonic,"ViewSonic VA2256-H - 22 Inch Gaming Monitor (AMD FreesSync, 5ms Response Time, Frameless, Flicker-Free, FHD IPS Panel, VGA, HDMI)", VA2256
Gigabyte,AORUS AD27QD 27 Inch 2K 144Hz FreeSync IPS Monitor, AD27QD 
Gigabyte,"Gigabyte Aorus CV27F - 27 Inch Curved RGB Gaming Monitor (1500R Curved, AMD FreeSync, 1ms Response Time, 165Hz Refresh Rate, Frameless, FHD VA Panel, HDMI, DisplayPort)", CV27F 
Gigabyte,"GIGABYTE AORUS FI27Q - 27 Inch RGB Tactical Gaming Monitor (Adaptive-Sync, HDR, 1ms Response Time, 165Hz Refresh Rate, Frameless, FHD IPS Panel, HDMI, DisplayPorts)", FI27Q 
Gigabyte,"GIGABYTE G32QC - 32 Inch Curved Gaming Monitor (AMD FreeSync, 1ms Response Time, 165Hz Refresh Rate, Frameless, Frameless, 2K QHD VA Panel, HDMI, Displayport)", G32QC 
Gigabyte,GIGABYTE G27F 27 INCH GAMING MONITOR, G27F 
Gigabyte,GIGABYTE G27FC 27 INCH GAMING MONITOR, G27FC 
Gigabyte,GIGABYTE M27F 27 INCH GAMING MONITOR, M27F 
Gigabyte,GIGABYTE G27Q 27 INCH GAMING MONITOR, G27Q 
Gigabyte,GIGABYTE M27Q 27 INCH GAMING MONITOR, M27Q 
msi,"MSI Optix G241 - 24 Inch Gaming Monitor (AMD FreeSync, 1ms Response Time, 144Hz Refresh Rate, Frameless, FHD IPS Panel, HDMI, DisplayPort)", G241 
msi,"MSI Optix G271 - 27 Inch Gaming Monitor (AMD FreeSync, 1ms Response Time, 144Hz Refresh Rate, Frameless, FHD IPS Panel, HDMI, DisplayPort)", G271 
msi,"MSI Optix G27C4 - 27 Inch 115% sRGB Curved Gaming Monitor (1500R Curved, AMD FreeSync, 1ms Response Time, 165Hz Refresh Rate, Frameless, FHD VA Panel, HDMI, Displayport)", G27C4 
msi,"MSI Optix G27CQ4 - 27 Inch Curved Gaming Monitor (1500R Curved, AMD FreeSync, 1ms Response Time, 165Hz Refresh Rate, Frameless, WQHD VA Panel, Flicker Free, HDMI, Displayport)", G27CQ4 
msi,MSI Optix MAG241C 24 Inch 115% sRGB Curved Gaming Monitor (AMD FreeSync/1ms Response Time/144Hz Refresh Rate/FHD VA Panel), MAG241C 
msi,"Msi Optix G24C4 - 24 Inch Curved Gaming Monitor (1500R Curved, AMD FreeSync, 1ms Response Time, 144Hz Refresh Rate, Frameless, Flicker Free, FHD IPS Panel, HDMI, DisplayPort)", G24C4 
